184	NM_000492.3	chr7	+	116907384	117094398	116907384	117094398	27	116907384,116931542,116936323,116958188,116961565,116962537,116963837,116967389,116969305,116975930,116986753,117015028,117017642,117019223,117022219,117030115,117030821,117033963,117037808,117038870,117041902,117054811,117069727,117080131,117091977,117092748,117094197,	116907437,116931653,116936432,116958404,116961655,116962701,116963963,116967636,116969398,116976113,116986945,117015123,117017729,117019947,117022348,117030153,117031072,117034043,117037959,117039098,117042003,117055060,117069883,117080221,117092150,117092854,117094398,	0		cmpl	cmpl	0,2,2,0,0,0,2,2,0,0,0,0,2,2,0,0,2,1,0,1,1,0,0,0,0,2,0,
126	NM_033056.3	chr10	-	55251623	56094028	55251623	56094028	32	55251623,55257158,55258330,55261080,55270085,55286940,55296407,55333008,55368580,55370631,55389497,55391517,55425414,55449957,55452657,55496522,55509096,55519749,55562640,55582865,55613209,55614899,55625448,55643701,55666588,55747036,55759361,55776130,55798885,55808547,55957577,56093937,	55253124,55257314,55258339,55261299,55270262,55287029,55296623,55333136,55368721,55370741,55389610,55391658,55425531,55450182,55452963,55496651,55509190,55519829,55562773,55583059,55613359,55615034,55625655,55643814,55666697,55747207,55759472,55776250,55799041,55808708,55957643,56094028,	0		cmpl	cmpl	2,2,2,2,2,0,0,1,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,
89	NM_000352.3	chr11	-	17371113	17454899	17371113	17454899	39	17371113,17371819,17372388,17373294,17373732,17373974,17375038,17375315,17375806,17376461,17380783,17382634,17383616,17384744,17385010,17385476,17386514,17388638,17390788,17391516,17392634,17393426,17395052,17405171,17405989,17406411,17406687,17408936,17410326,17420842,17421300,17426638,17431241,17438610,17439705,17441560,17448223,17453008,17454751,	17371251,17371882,17372522,17373398,17373841,17374053,17375169,17375436,17375920,17376564,17380876,17382792,17383686,17384911,17385252,17385576,17386640,17388776,17390869,17391601,17392733,17393462,17395085,17405277,17406065,17406528,17406793,17409082,17410367,17421005,17421435,17426794,17431406,17438799,17439948,17441727,17448345,17453150,17454899,	0		cmpl	cmpl	0,0,1,2,1,0,1,0,0,2,2,0,2,0,1,0,0,0,0,2,2,2,2,1,0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,
610	NM_000049.2	chr17	+	3326203	3349132	3326203	3349132	6	3326203,3331646,3333542,3339278,3344393,3348934,	3326439,3331842,3333636,3339386,3344503,3349132,	0		cmpl	cmpl	0,2,0,1,1,0,
904	NM_000709.3	chr19	+	46595572	46622353	46595572	46622353	9	46595572,46608381,46608667,46611793,46616879,46619908,46620373,46620742,46622182,	46595680,46608561,46608754,46611902,46617041,46620115,46620515,46620914,46622353,	0		cmpl	cmpl	0,0,0,0,1,1,1,2,0,
150	NM_000056.3	chr6	+	80873129	81110240	80873129	81110240	10	80873129,80893982,80895596,80934113,80935310,80937717,80967369,80969537,81039570,81110099,	80873325,80894060,80895665,80934247,80935466,80937826,80967467,80969648,81039657,81110240,	0		cmpl	cmpl	0,1,1,1,0,0,1,0,0,0,
160	NM_000057.2	chr15	+	89091626	89159513	89091626	89159513	21	89091626,89093600,89096020,89099044,89104380,89104827,89107199,89109529,89111143,89113366,89113671,89127055,89129154,89134882,89138400,89142423,89147754,89148400,89153370,89155438,89159335,	89091724,89094301,89096180,89099172,89104513,89105489,89107391,89109648,89111257,89113465,89113820,89127162,89129315,89135078,89138591,89142571,89147954,89148593,89153493,89155640,89159513,	0		cmpl	cmpl	0,2,1,2,1,2,1,1,0,0,0,2,1,0,1,0,1,0,1,1,2,
1734	NM_174878.2	chr3	-	152128412	152173185	152128412	152173185	3	152128412,152142058,152172932,	152128678,152142238,152173185,	0		cmpl	cmpl	1,1,0,
1500	NM_000198.3	chr7	+	107318931	107346940	107318931	107346940	14	107318931,107320880,107329418,107330005,107331158,107332638,107333041,107333947,107343186,107344474,107344953,107345604,107346690,107346874,	107318970,107320959,107329498,107330074,107331228,107332739,107333185,107334049,107343377,107344645,107345143,107345742,107346780,107346940,	0		cmpl	cmpl	0,0,1,0,0,1,0,0,0,2,2,0,0,0,
166	NM_000136.2	chr9	-	96903809	97051394	96903809	97051394	14	96903809,96909168,96913565,96916731,96919417,96927188,96928631,96937448,96952025,96973181,96974139,97042751,97049534,97051229,	96903953,96909372,96913740,96916813,96919493,96927288,96928684,96937605,96952190,96973246,96974250,97042846,97049619,97051394,	0		cmpl	cmpl	0,0,2,1,0,2,0,2,2,0,0,1,0,0,
